,0,1,2,3,4,5,6
177,39,73,73,90,39,39,90
178,30,80,80,80,80,30,80
179,44,44,44,44,44,87,44
180,80,89,52,52,89,52,80
181,87,86,74,73,70,74,74
182,63,78,80,80,63,78,80
183,88,52,87,88,88,52,87
184,66,66,74,74,73,83,73
185,88,83,83,88,83,86,33
186,73,53,77,73,77,84,77
187,73,47,80,73,78,78,80
188,89,89,60,60,60,89,73
189,65,65,65,65,65,77,65
190,62,62,80,80,62,62,62
191,80,57,57,85,80,85,85
192,53,53,80,80,53,80,53
193,56,56,56,56,56,56,56
194,46,46,77,46,78,46,78
195,88,87,73,87,87,87,87
196,80,80,62,80,80,62,62
197,80,86,40,40,80,40,80
198,63,63,63,88,88,88,63
199,89,30,89,89,80,89,80
200,53,53,53,83,83,53,83
201,74,73,60,60,77,73,77
202,77,77,66,66,86,66,86
203,90,90,65,65,90,65,65
204,58,87,58,87,77,58,58
205,43,43,89,89,43,89,89
206,88,61,74,75,87,75,61
207,63,73,63,86,80,80,63
208,83,47,83,47,47,83,47
209,80,57,57,77,57,77,80
210,74,73,62,74,73,73,62
211,89,77,43,89,43,43,43
212,61,80,80,61,61,61,80
213,59,86,59,59,59,59,80
214,55,84,80,84,80,84,80
215,80,62,80,62,62,80,62
216,62,86,86,86,86,77,62
217,65,86,86,83,86,83,65
218,64,88,88,64,64,64,88
219,83,83,83,57,57,83,57
220,77,86,69,77,86,77,69
221,69,80,80,80,69,69,80
222,74,73,74,87,87,69,73
223,69,69,80,80,88,88,88
224,69,69,69,69,69,80,69
225,77,69,76,77,69,69,76
226,88,88,63,88,88,73,73
227,64,74,74,73,74,64,64
228,74,55,73,87,87,73,55
229,74,73,73,73,87,57,57
230,73,73,73,73,74,73,73
231,73,73,77,73,73,77,78
232,90,77,73,77,90,61,77
233,65,73,65,73,73,65,65
234,83,73,83,48,73,48,83
235,69,69,89,69,89,77,77
236,77,77,69,69,69,77,69
237,86,86,80,86,86,86,69
238,77,60,77,77,60,77,77
239,65,78,87,87,80,65,80
240,75,75,69,77,77,69,69
241,89,73,89,73,89,73,86
242,77,70,77,70,77,70,77
243,76,70,70,77,76,76,76
244,70,70,80,88,73,80,88
245,80,73,80,73,73,88,70
246,70,70,70,70,70,80,80
247,73,76,76,70,70,70,74
248,78,78,78,70,77,78,77
249,70,77,70,77,77,77,77
250,70,87,70,87,70,87,70
251,77,70,77,70,77,70,77
252,87,87,87,70,88,74,87
253,70,70,86,80,86,70,86
254,73,73,74,78,74,73,70
255,70,70,77,86,77,77,86
256,86,77,70,86,86,86,70
257,73,87,73,77,87,74,87
258,70,80,80,87,80,70,70
259,77,77,76,70,77,77,76
260,73,87,73,73,85,70,88
261,77,76,70,70,70,76,77
262,80,80,70,80,80,70,80
263,70,70,73,73,73,73,73
264,88,70,70,87,88,88,88
265,88,63,88,88,88,88,88
266,70,70,70,73,73,70,74
267,72,0,72,72,0,0,72
268,86,86,80,80,70,80,80
269,77,77,77,77,70,77,70
270,87,88,88,80,80,87,80
271,87,73,87,73,70,87,70
272,80,80,70,80,80,70,70
273,68,78,78,73,88,68,78
274,77,68,86,68,77,68,68
275,80,86,68,80,86,80,86
276,80,68,68,80,68,80,68
277,68,68,80,68,80,68,68
278,80,80,86,86,69,80,80
279,80,68,80,80,80,68,80
280,80,69,69,69,69,69,80
281,88,67,67,73,73,88,67
282,80,80,69,69,80,69,69
283,69,69,80,80,86,69,86
284,77,69,86,69,86,86,69
285,80,69,69,69,80,80,80
286,86,80,89,69,69,89,89
287,69,69,69,80,69,69,69
288,83,88,69,88,83,88,88
289,80,80,69,80,80,80,80
290,77,70,70,70,77,77,70
291,88,85,70,85,70,85,85
292,80,80,80,70,80,80,80
293,78,70,70,78,80,80,80
294,77,77,70,77,77,70,70
295,70,73,70,88,70,88,70
296,80,80,70,70,80,80,70
297,70,80,80,70,80,70,70
298,70,70,87,88,87,88,73
299,70,78,78,78,78,78,70
300,70,73,73,88,73,70,73
301,77,70,70,77,70,77,77
302,82,85,78,78,70,78,88
303,70,70,80,80,80,80,70
304,76,76,69,69,74,69,76
305,70,80,70,70,80,70,70
306,70,80,80,70,80,86,70
307,83,85,85,85,70,78,83
308,70,70,81,76,76,80,81
309,70,70,70,70,70,70,70
310,80,80,70,80,70,80,70
311,88,88,70,80,86,86,88
312,78,85,70,70,78,70,85
313,70,80,80,73,73,80,73
314,76,73,73,73,76,73,73
315,71,88,80,88,80,71,88
316,77,77,80,70,77,80,77
317,80,66,80,80,80,80,66
318,80,66,66,66,80,80,89
319,77,84,86,77,86,69,69
320,79,69,79,69,79,69,79
321,77,69,69,77,69,77,77
322,70,70,70,70,88,85,85
323,88,88,73,70,73,70,88
324,85,85,85,85,70,85,85
325,88,70,80,88,80,80,70
326,73,73,89,73,89,80,70
327,70,80,80,80,70,70,80
328,73,73,85,86,85,85,70
329,88,88,88,71,71,88,71
330,80,80,70,70,80,70,70
331,88,70,88,88,74,88,88
332,78,70,88,80,70,78,80
333,88,88,88,70,85,85,88
334,70,78,78,78,85,78,78
335,70,70,70,77,70,70,70
336,78,88,78,88,88,70,88
337,80,70,88,70,88,80,80
338,70,70,77,77,70,77,70
339,70,73,70,80,73,73,70
340,70,70,80,80,80,70,80
341,77,70,70,77,77,77,77
342,70,85,77,70,70,85,85
343,73,83,83,70,73,87,70
344,70,70,80,70,70,80,80
345,80,70,70,80,77,80,80
346,78,78,80,70,70,80,70
347,77,80,71,80,71,80,71
348,78,78,80,78,71,88,71
349,71,71,71,88,71,71,71
350,71,85,71,85,88,71,71
351,83,71,83,71,71,83,71
352,77,77,70,70,84,70,70
353,87,87,83,71,87,73,83
354,86,86,86,77,86,71,71
355,71,88,87,71,88,88,88
356,67,67,80,67,88,85,67
357,80,48,80,48,48,80,80
358,70,87,88,87,74,70,70
359,70,70,70,88,70,88,70
360,70,79,79,70,70,79,79
361,88,88,88,70,88,78,70
362,77,71,84,84,73,71,77
363,68,68,68,68,68,73,68
364,77,68,77,68,77,77,68
365,68,80,80,68,68,80,80
366,80,80,80,80,80,68,80
367,68,68,68,68,68,68,77
368,77,69,77,69,69,69,77
369,69,69,77,69,77,69,69
370,88,88,69,69,80,88,69
371,86,86,86,86,86,86,69
372,68,68,77,77,77,77,68
373,87,73,87,73,74,87,87
374,73,68,73,68,73,68,76
375,68,68,68,80,68,80,68
376,67,77,77,77,67,77,77
377,67,77,77,77,67,76,77
378,80,80,80,80,67,67,80
379,83,68,68,83,83,83,68
380,67,67,67,73,87,73,67
381,86,67,77,77,67,67,77
382,77,77,67,80,67,77,67
383,76,77,67,67,77,77,77
384,77,67,77,77,77,77,67
385,86,74,73,74,67,73,77
386,77,66,66,77,77,77,66
387,80,66,66,66,80,66,80
388,67,67,73,77,67,77,77
389,76,67,67,74,67,67,67
390,66,66,66,66,77,66,66
391,77,77,77,77,66,66,73
392,80,66,80,80,80,66,80
393,77,77,66,77,66,77,77
394,85,67,86,77,67,67,85
395,77,77,77,66,66,77,77
396,67,77,83,83,67,83,83
397,73,66,73,66,66,66,73
398,74,66,87,76,66,74,73
399,74,74,74,74,66,77,73
400,77,77,77,67,76,67,76
401,77,68,68,77,68,68,77
402,77,77,77,63,77,86,88
403,80,78,62,73,74,80,73
404,13,13,13,13,13,13,75
405,85,85,73,85,69,73,74
406,69,83,69,83,69,88,88
407,77,77,69,77,69,77,69
408,77,75,88,77,69,77,69
409,77,77,80,77,80,69,77
410,77,77,77,69,69,69,69
411,87,77,87,86,69,87,77
412,77,69,77,77,69,69,77
413,69,83,83,69,69,69,83
414,55,77,77,77,77,77,55
415,76,76,77,76,77,90,48
416,76,80,76,30,76,76,80
417,76,80,80,34,34,34,80
418,23,76,84,23,76,23,76
419,37,84,84,84,37,77,84
420,84,76,24,75,75,76,76
421,86,86,69,80,86,80,80
422,76,75,75,77,75,77,77
423,55,76,87,87,76,81,55
424,69,69,83,69,83,83,69
425,77,77,77,65,65,77,77
426,89,88,59,59,75,75,75
427,80,80,35,80,35,80,35
428,44,77,44,44,44,77,44
429,87,87,80,87,87,24,80
430,77,77,6,6,77,89,6
431,59,74,73,59,59,59,59
432,75,75,76,75,75,84,76
433,77,77,77,77,77,77,77
434,87,87,87,87,29,29,87
435,73,42,90,73,90,77,77
436,54,83,83,54,83,83,54
437,83,65,65,65,83,65,83
438,83,83,83,56,83,56,83
439,83,66,83,83,66,66,83
440,55,83,55,83,55,55,83
441,83,52,83,83,83,52,52
442,63,63,63,63,63,83,83
443,83,36,83,83,36,36,36
444,31,31,83,31,31,31,31
445,83,18,18,18,83,18,18
446,49,49,83,83,83,83,83
447,49,83,49,83,83,83,49
448,49,49,49,49,83,83,83
449,73,74,52,74,73,74,74
450,74,74,74,73,87,62,73
451,51,84,84,51,77,77,77
452,83,83,51,73,73,73,51
453,56,56,83,73,56,83,83
454,80,69,69,69,80,80,69
455,73,70,73,73,70,73,70
456,77,77,70,70,77,70,70
457,70,80,80,80,74,76,80
458,68,68,68,80,80,80,68
459,68,68,80,80,68,68,68
460,80,68,80,80,68,68,68
461,68,68,80,68,68,80,68
462,65,65,65,65,86,80,86
463,74,67,67,74,67,67,74
464,67,80,80,80,80,80,67
465,74,67,74,67,76,76,67
466,88,65,65,88,65,65,88
467,66,80,66,66,80,66,80
468,80,66,66,80,80,80,66
469,80,66,66,80,66,80,66
470,90,90,66,66,66,90,90
471,69,89,89,69,69,89,89
472,74,81,74,81,81,81,73
473,76,76,84,69,75,69,69
474,89,87,87,89,87,89,87
475,80,69,80,69,69,69,80
476,69,69,77,69,69,77,69
477,77,69,76,69,69,69,76
478,86,77,86,86,77,13,77
479,85,31,88,31,88,88,88
480,77,88,77,32,88,88,77
481,80,77,33,77,33,80,33
482,78,32,78,78,78,77,32
483,86,89,89,89,89,86,15
484,14,85,85,14,82,14,82
485,37,86,86,37,86,86,86
486,77,77,27,86,77,86,77
487,77,77,26,26,77,86,86
488,82,82,23,82,23,23,23
489,88,19,88,86,82,82,86
490,77,77,28,86,88,77,28
491,74,11,74,74,73,74,11
492,28,80,80,28,28,28,28
493,85,85,7,85,7,7,7
494,77,13,77,13,13,13,13
495,74,77,74,29,29,77,77
496,80,80,19,19,80,80,80
497,77,11,11,77,11,77,77
498,24,89,89,24,74,73,24
499,31,80,31,31,31,31,80
500,74,76,74,76,69,74,69
501,84,14,84,84,84,75,75
502,44,44,44,77,89,44,44
503,80,45,45,45,80,45,80
504,40,40,80,40,80,40,80
505,85,88,88,27,27,27,88
506,80,28,28,80,80,80,80
507,80,80,80,24,80,24,24
508,80,80,80,69,80,69,69
509,80,80,62,80,80,62,80
510,27,27,90,90,90,73,80
511,89,35,35,74,35,89,74
512,77,77,80,60,77,77,60
513,22,88,88,22,88,88,85
514,86,77,77,50,50,86,77
515,73,80,73,80,89,73,70
516,77,56,77,56,56,56,56
517,80,86,80,77,77,77,80
518,63,63,80,63,80,80,80
519,74,21,74,74,74,74,74
520,74,89,89,36,74,89,36
521,89,80,51,89,89,80,80
522,59,59,80,77,80,59,80
523,80,80,77,77,80,77,40
524,77,77,77,13,77,77,13
525,19,19,19,19,82,82,85
526,74,32,80,73,32,80,32
527,80,80,55,55,80,80,80
528,80,80,89,80,80,57,80
529,80,80,80,80,58,58,58
530,48,48,48,74,48,74,48
531,86,69,69,69,80,69,86
532,86,70,86,70,86,70,70
533,70,70,85,85,85,85,85
534,70,70,70,70,70,80,70
535,77,86,70,70,77,77,77
536,80,70,80,80,70,80,70
537,64,64,80,80,64,80,64
538,75,70,84,75,76,84,75
539,77,77,77,77,77,70,77
540,68,73,68,68,68,73,73
541,74,74,73,73,73,74,73
542,84,86,75,68,76,84,84
543,68,84,68,84,68,80,68
544,80,78,69,86,86,69,86
545,68,77,86,68,86,77,86
546,88,69,88,69,88,69,88
547,78,69,69,69,69,78,78
548,81,76,81,69,81,69,81
549,89,68,80,80,68,68,89
550,88,68,68,73,68,88,88
551,83,68,68,83,83,68,68
552,68,87,68,68,87,68,68
553,86,86,86,80,68,80,68
554,73,74,74,68,68,68,73
555,80,68,68,68,68,80,80
556,68,68,90,90,90,68,90
557,80,80,84,80,80,80,84
558,81,88,81,80,88,80,80
559,67,67,80,67,67,80,80
560,86,87,68,86,77,87,81
561,83,83,80,83,67,83,83
562,73,73,68,73,90,68,68
563,83,68,68,83,68,68,68
564,83,83,83,77,77,68,83
565,88,68,83,88,68,68,83
566,74,88,67,73,74,67,74
567,83,83,67,83,67,67,83
568,73,73,88,73,67,73,88
569,80,83,83,80,83,80,67
570,67,67,67,90,67,67,67
571,66,66,88,88,88,66,77
572,67,88,67,88,73,88,88
573,66,83,87,88,88,66,87
574,86,66,85,86,85,88,66
575,67,77,77,77,67,90,67
576,74,73,66,73,74,66,66
577,66,87,87,77,66,87,77
578,87,87,66,66,73,73,87
579,66,66,66,77,77,66,77
580,86,77,77,77,86,86,86
581,88,88,66,80,80,66,88
582,80,66,66,66,80,86,80
583,78,66,78,88,78,78,66
584,80,80,80,80,66,66,80
585,77,66,66,66,77,66,77
586,73,73,73,67,67,73,73
587,66,66,85,85,80,66,80
588,64,64,64,76,84,76,64
589,42,42,42,42,42,42,90
590,73,73,83,87,69,73,69
591,88,80,88,80,69,69,69
592,88,85,68,85,85,85,88
593,89,89,89,89,66,89,89
594,86,86,69,86,86,86,80
595,88,88,69,69,88,88,69
596,76,84,75,69,75,76,75
597,69,73,73,69,88,88,88
598,80,77,69,77,77,77,80
599,69,69,73,73,73,73,73
600,76,76,76,69,76,69,76
601,74,89,89,74,16,74,16
602,86,24,24,86,24,24,84
603,27,85,27,88,88,88,88
604,7,7,7,7,77,7,77
605,17,17,17,17,84,84,84
606,80,23,23,80,23,80,80
607,13,86,88,86,86,88,13
608,18,88,18,85,88,85,88
609,23,77,23,77,23,23,77
610,84,84,31,84,84,31,84
611,78,78,78,78,78,17,82
612,80,10,10,10,80,80,10
613,77,9,9,77,77,77,9
614,29,80,29,29,29,29,80
615,8,8,88,88,88,88,88
616,41,41,41,83,83,83,41
617,80,3,3,80,80,3,3
618,80,28,80,28,28,28,80
619,80,88,69,80,88,88,80
620,80,69,69,69,80,80,69
621,90,28,28,28,28,28,90
622,76,76,74,74,74,76,33
623,67,76,67,76,77,77,67
624,76,76,75,75,76,84,76
625,36,76,75,76,76,36,75
626,80,76,76,76,76,80,22
627,64,64,64,80,64,80,80
628,69,69,80,78,80,78,80
629,84,77,77,55,84,84,84
630,84,38,84,38,38,38,84
631,80,86,89,80,89,86,73
632,55,55,80,55,80,55,80
633,80,11,11,11,11,80,11
634,79,69,79,79,69,69,69
635,53,83,83,83,83,83,53
636,54,87,88,87,87,74,54
637,54,54,77,77,77,77,83
638,80,80,55,80,80,80,80
639,52,80,52,52,52,52,52
640,62,62,62,80,80,80,62
641,30,30,80,89,80,30,80
642,63,82,82,63,80,63,80
643,67,67,67,67,67,80,80
644,61,79,79,79,79,61,79
645,63,79,63,63,79,63,79
646,42,90,90,90,90,90,42
647,58,80,89,80,89,80,80
648,86,25,77,77,86,25,77
649,57,57,78,88,80,57,88
650,80,80,80,30,30,80,80
651,80,62,80,62,73,89,89
652,80,77,77,77,63,80,80
653,82,31,88,82,78,78,82
654,85,47,82,85,88,85,82
655,74,59,80,77,77,74,59
656,78,78,78,4,82,88,4
657,82,88,35,35,35,35,82
658,63,63,80,80,63,63,80
659,77,17,17,85,88,17,88
660,80,64,80,64,64,64,80
661,90,90,90,90,90,25,25
662,80,86,53,80,86,86,80
663,77,77,52,52,52,52,77
664,57,80,57,57,57,57,57
665,83,87,83,83,87,83,88
666,83,83,47,47,83,83,83
667,83,83,83,83,50,83,83
668,54,54,73,83,83,73,83
669,83,64,83,64,64,83,83
670,66,88,83,88,83,83,87
671,83,83,8,83,8,8,83
672,65,83,83,65,83,65,65
673,82,82,35,35,35,88,82
674,83,83,55,55,55,55,55
675,83,83,1,1,83,83,83
676,80,80,69,69,80,69,80
677,70,79,79,79,79,79,79
678,70,88,88,70,70,80,80
679,54,54,54,54,54,54,54
680,70,74,73,74,74,70,70
681,70,83,83,83,83,83,70
682,70,83,70,88,70,88,83
683,77,77,77,70,77,77,77
684,88,88,88,66,66,88,73
685,73,69,69,73,88,88,73
686,80,80,66,73,66,73,66
687,77,77,89,77,70,70,89
688,77,70,70,70,77,77,70
689,73,88,88,70,88,70,88
690,89,80,80,70,89,80,70
691,82,82,88,88,82,87,88
692,86,80,77,86,80,68,86
693,80,80,80,68,80,80,68
694,68,86,68,86,86,68,68
695,80,68,77,68,68,68,68
696,80,88,80,69,80,80,69
697,80,68,68,68,80,68,68
698,80,67,67,67,67,67,80
699,80,67,67,80,67,80,67
700,68,68,77,77,77,68,77
701,79,66,79,79,66,79,79
702,86,86,86,77,77,77,67
703,67,80,80,67,80,67,67
704,66,80,80,66,86,80,80
705,25,25,84,25,84,86,86
706,69,83,69,83,69,69,83
707,64,64,64,64,80,64,64
708,62,80,80,62,62,80,80
709,65,65,65,77,86,86,86
710,58,77,58,58,58,77,77
711,80,80,69,80,69,80,80
712,60,60,60,80,77,80,60
713,68,68,68,80,68,68,80
714,86,80,80,86,68,80,80
715,77,68,68,77,80,77,80
716,86,86,86,80,80,68,68
717,88,88,80,88,69,69,80
718,77,69,77,77,69,69,77
719,67,89,89,89,89,77,77
720,68,80,74,74,68,68,86
721,77,68,68,68,77,77,68
722,77,68,68,68,77,77,77
723,77,77,77,80,80,68,77
724,80,80,80,80,80,86,86
725,77,67,67,67,67,77,77
726,68,76,68,68,68,68,76
727,67,67,86,67,80,86,67
728,67,77,87,87,87,77,67
729,80,67,67,67,80,67,80
730,80,86,69,69,69,86,69
731,86,67,77,80,86,80,77
732,86,86,77,66,86,86,77
733,80,67,67,86,86,86,67
734,77,77,66,77,77,77,66
735,80,66,80,80,80,80,66
736,80,86,86,86,80,66,80
737,77,67,77,80,80,80,67
738,67,86,77,77,77,86,86
739,86,77,86,77,86,63,63
740,86,86,86,86,86,80,80
741,69,80,88,88,69,69,80
742,88,69,80,69,88,80,69
743,73,88,73,69,73,73,88
744,80,80,89,80,80,80,80
745,45,45,45,77,77,77,45
746,58,77,77,77,58,58,77
747,86,77,86,86,66,66,77
748,88,88,86,73,86,70,73
749,86,77,86,77,77,86,77
750,80,80,80,70,70,80,80
751,86,88,73,70,73,70,86
752,71,71,71,71,73,88,88
753,80,80,67,80,80,67,67
754,88,88,88,78,88,88,78
755,81,68,68,76,81,76,87
756,68,77,68,68,77,68,68
757,79,68,79,68,79,79,68
758,69,88,88,88,88,88,88
759,68,68,73,73,73,68,73
760,68,87,68,87,68,68,87
761,88,88,73,73,68,73,73
762,80,80,69,69,80,69,80
763,69,69,69,77,69,69,69
764,77,77,69,86,69,77,86
765,65,86,77,65,65,86,77
766,69,69,69,69,69,69,79
767,83,83,83,68,83,83,68
768,74,68,76,74,74,76,74
769,87,68,73,68,87,87,87
770,68,85,68,85,68,78,85
771,73,73,68,73,87,88,88
772,80,68,80,68,80,80,80
773,67,67,67,88,67,88,67
774,83,68,83,83,68,68,83
775,80,80,77,80,68,77,86
776,80,80,80,68,80,68,80
777,83,68,68,68,83,83,68
778,80,86,80,77,68,80,80
779,67,67,73,67,67,67,73
780,67,67,67,67,67,77,77
781,68,86,77,86,77,68,77
782,80,80,67,80,80,67,67
783,77,86,67,77,77,67,86
784,80,80,80,83,80,83,66
785,77,86,86,86,67,86,67
786,86,68,77,86,68,77,68
787,68,80,77,68,68,68,77
788,88,83,67,83,88,88,83
789,80,77,77,77,77,80,68
790,68,77,68,77,68,77,68
791,68,76,68,76,68,68,68
792,77,67,67,77,77,67,67
793,77,67,77,77,67,67,67
794,80,67,86,86,67,86,80
795,76,76,77,76,67,77,67
796,77,77,86,86,67,86,86
797,87,67,73,87,73,87,67
798,68,68,73,73,68,68,68
799,68,80,68,68,80,80,68
800,83,83,88,83,68,88,68
801,67,67,77,67,67,77,67
802,73,74,66,73,88,78,78
803,73,80,89,73,80,73,89
804,77,67,77,67,77,77,67
805,85,77,85,66,77,85,66
806,80,80,80,73,80,66,73
807,66,66,80,66,80,66,66
808,66,80,73,66,66,73,80
809,85,66,73,85,80,73,80
810,67,67,67,67,73,67,67
811,79,79,66,79,66,66,66
812,67,74,74,74,67,74,76
813,69,79,79,69,69,69,69
814,79,79,67,67,67,67,79
815,69,80,69,69,86,80,80
816,83,83,83,68,68,83,83
817,80,80,80,80,69,69,69
818,77,77,77,69,69,77,77
819,69,77,77,69,77,69,69
820,81,77,74,69,69,69,77
821,86,69,86,77,77,69,86
822,80,41,41,80,41,41,80
823,78,78,78,82,78,78,69
824,77,69,69,69,69,69,77
825,73,73,69,88,73,88,88
826,74,69,69,69,69,69,69
827,88,88,88,74,73,73,73
828,76,74,76,74,69,69,76
829,74,73,74,69,74,74,74
830,85,88,88,69,88,73,88
831,69,87,87,74,69,69,74
832,81,80,76,80,76,80,80
833,73,73,73,73,73,69,69
834,68,83,68,88,88,83,88
835,77,77,86,84,77,86,7
836,12,12,12,12,86,86,86
837,80,80,80,80,80,14,80
838,69,69,73,69,73,73,73
839,83,68,68,68,83,68,68
840,80,80,73,69,90,73,80
841,88,88,69,88,73,69,88
842,80,80,80,77,33,33,76
843,77,77,32,76,76,32,76
844,69,69,78,78,69,78,78
845,77,69,77,77,77,77,77
846,80,80,86,86,80,80,69
847,79,80,79,79,69,79,80
848,82,88,82,17,82,17,82
849,73,86,86,73,86,63,73
850,69,69,79,69,69,69,79
851,80,80,39,80,80,39,39
852,88,80,80,80,88,88,69
853,77,77,65,65,83,77,77
854,60,77,60,77,60,60,60
855,88,73,85,88,86,80,88
856,77,77,64,64,64,80,64
857,69,79,79,69,69,79,79
858,83,69,69,83,83,69,69
859,59,83,83,59,77,77,83
860,60,60,83,60,88,60,88
861,83,59,59,83,83,59,59
862,76,77,76,74,76,76,74
863,69,80,69,69,80,69,80
864,77,77,77,77,69,69,77
865,80,70,70,80,80,80,70
866,69,86,77,77,77,69,69
867,80,80,69,80,80,80,80
868,80,80,70,80,70,80,70
869,70,77,77,86,86,70,86
870,86,86,70,86,86,86,86
871,77,70,77,70,70,77,70
872,86,70,86,70,86,86,70
873,70,86,86,86,77,70,70
